DEFECTID,CLASSNUMBER,a_6_FINEBINNUMBER,g_6_SIZE_DW1O,g_6_SIZE_DW2O,i_6_SIZE_DNO,i_6_SIZE_DW1O,i_6_SIZE_DW2O,j_6_SIZE_DNO,j_6_SIZE_DW1O,j_6_SIZE_DW2O,k_6_SIZE_DW1O,k_6_SIZE_DW2O,ClassNum,Flag_ReviewSample,RoughBin,Confidence,RBBLabel
86633,10,0,0.1413,0,0.5209,0.151,0.366,0.2311,0.2182,0.4474,0.3455,0.2233,10,1,2,0,2
86669,2,0,0.1403,0.1874,3.797,0.2188,0.2977,0.3946,0.6765,1.3293,1.0171,0.2064,2,1,1,0,1
87918,75,90,0.088,0.1528,0.4225,0.1442,0.2089,0,0.1903,0.2596,0.2338,0.1434,75,1,1,0,2
88209,10,0,0.097,0,0.3981,0.1686,0.2976,0.1992,0.2056,0.3583,0.3151,0.203,10,1,2,0,2
91008,10,0,0.0963,0,0.624,0.176,0.2634,0.2152,0.1808,0.4054,0.2411,0.2644,10,1,2,0,2
91625,10,0,0.0834,0,0.261,0.0956,0.1824,0,0.1346,0.2135,0.1867,0,10,1,2,0,2
91790,10,0,0.1811,0.1506,0.3681,0.1902,0.4889,0.2897,0.2795,0.6731,0.5293,0.2815,10,1,2,0,2
93605,10,90,0.0987,0,0.4942,0.1554,0.2395,0.1853,0.2097,0.3116,0.2623,0.1716,10,1,2,0,2
93606,10,20,0,0,0.2896,0.1042,0.1778,0,0.1624,0.2222,0.2068,0,10,1,2,0,2
94041,10,90,0,0,0.2158,0,0.1999,0,0.1156,0.2229,0.18,0.1316,10,1,2,0,2
94228,10,0,0.0897,0,0.2121,0.0951,0.1811,0.1305,0.1329,0.2172,0.1857,0,10,1,2,0,2
94348,10,0,0.09,0,0.3967,0.1265,0.2144,0.1318,0.2009,0.2852,0.2829,0.1765,10,1,2,0,2
96450,10,0,0.0914,0,0.2888,0.1097,0.204,0,0.1652,0.2453,0.213,0,10,1,2,0,2
101151,10,0,0.1136,0,0.272,0.1387,0.2446,0,0.1728,0.2812,0.2282,0.1891,10,1,2,0,2
101795,2,0,0.1563,0,0.762,0.1638,0.1261,0.2671,0.2415,0.4381,0.3256,0.257,2,1,1,0,1
101856,2,0,0.135,0.1524,2.1773,0.1804,0.2418,0.294,0.5245,0.5817,0.749,0,2,1,1,0,1
102792,10,0,0.0958,0,0.5659,0.1571,0.3064,0,0.2063,0.3995,0.3277,0.2027,10,1,2,0,2
103005,10,0,0.1245,0,2.7621,0.175,0.2785,0.1993,0.2572,0.45,0.4927,0.1962,10,1,2,0,2
103484,10,10,0.0979,0,0.3703,0.1491,0.3013,0.1699,0.2032,0.3636,0,0.194,10,1,2,0,2
103590,10,0,0.0983,0,0.5839,0.1418,0.2829,0.1878,0.2078,0.3886,0.3929,0.1984,10,1,2,0,2
103701,10,0,0.1478,0,0.9351,0.1881,0.7799,0.2145,0.3153,0.9281,0.5514,0.2548,10,1,2,0,3
103759,10,90,0.1297,0.1638,0.4571,0.2492,0.5909,0.2454,0.2943,0.5035,0.5863,0.2141,10,1,2,0,2
103901,10,0,0,0,0.2044,0,0.167,0,0.1018,0.1818,0.1703,0,10,1,2,0,2
103938,10,20,0.0862,0,0.4242,0.1145,0.1957,0.143,0.1786,0.2505,0.2312,0,10,1,2,0,2
103969,10,90,0.1131,0,0.7977,0.153,0.3491,0.2053,0.2991,0.5365,0.5338,0.2481,10,1,2,0,2
105328,10,0,0.083,0,0,0,0.1562,0,0.1013,0.1816,0.148,0,10,1,2,0,2
105750,10,0,0.0879,0,0.274,0.1312,0.2409,0,0.1743,0.2702,0.246,0.1933,10,1,2,0,2
107537,10,0,0.0989,0,0.3985,0.121,0.2404,0,0.1767,0.2863,0.2289,0.1573,10,1,2,0,2
107728,75,90,0.108,0,0.278,0.1553,0.2071,0,0.1929,0.247,0.2339,0,75,1,1,0,2
109572,10,0,0.1054,0.1452,0.3555,0.118,0.3001,0,0.1721,0.2798,0.2448,0.2,10,1,2,0,2
112063,10,0,0.1374,0,0.9637,0.153,0.3346,0.2342,0.2624,0.5616,0.5823,0.2446,10,1,2,0,2
113216,10,0,0.0975,0,0,0.1332,0.2414,0,0.1689,0.2665,0.2,0.2188,10,1,2,0,2
114417,10,20,0,0,0.1638,0,0.1552,0,0.1261,0.2051,0.1731,0,10,1,2,0,2
114976,10,0,0.0863,0,0.2187,0.0919,0.2051,0,0.1256,0.2301,0.1885,0,10,1,2,0,2
115386,70,20,0,0,0.4239,0.098,0.1657,0,0.1206,0.1859,0.1637,0,70,1,1,0,2
